Price,Close,High,Low,Open,Volume
Ticker,^RUT,^RUT,^RUT,^RUT,^RUT
Date,,,,,
2018-01-02,1550.010009765625,1550.300048828125,1536.1199951171875,1536.1199951171875,3397430000
2018-01-03,1552.5799560546875,1555.0799560546875,1547.5899658203125,1550.280029296875,3544030000
2018-01-04,1555.719970703125,1560.8399658203125,1552.3699951171875,1552.97998046875,3697340000
2018-01-05,1560.010009765625,1560.0699462890625,1552.1300048828125,1555.8699951171875,3239280000
2018-01-08,1561.81005859375,1562.989990234375,1548.22998046875,1559.800048828125,3246160000
2018-01-09,1560.0999755859375,1565.5799560546875,1558.8599853515625,1562.219970703125,3467460000
2018-01-10,1559.800048828125,1561.9100341796875,1551.52001953125,1559.010009765625,3579900000
2018-01-11,1586.7900390625,1586.7900390625,1560.219970703125,1560.219970703125,3645690000
2018-01-12,1591.969970703125,1598.1800537109375,1587.1199951171875,1587.1199951171875,3587220000
2018-01-16,1572.969970703125,1604.02001953125,1570.75,1592.9100341796875,4362880000
2018-01-17,1586.6600341796875,1589.1300048828125,1573.72998046875,1573.72998046875,3790340000
2018-01-18,1576.72998046875,1586.31005859375,1576.4100341796875,1586.31005859375,3703300000
2018-01-19,1597.6300048828125,1597.6300048828125,1575.3199462890625,1576.5,3724230000
2018-01-22,1605.1700439453125,1605.1700439453125,1595.550048828125,1598.1400146484375,3489480000
2018-01-23,1610.7099609375,1612.550048828125,1599.2099609375,1604.93994140625,3541140000
2018-01-24,1601.77001953125,1615.52001953125,1595.93994140625,1611.68994140625,4079270000
2018-01-25,1601.6700439453125,1607.7900390625,1594.4200439453125,1601.5899658203125,3873100000
2018-01-26,1608.06005859375,1608.06005859375,1599.5,1602.969970703125,3474680000
2018-01-29,1598.1099853515625,1607.949951171875,1597.8800048828125,1607.81005859375,3587420000
2018-01-30,1582.8199462890625,1595.6400146484375,1579.489990234375,1595.6400146484375,4012070000
2018-01-31,1574.97998046875,1594.27001953125,1571.260009765625,1584.7099609375,4276270000
2018-02-01,1579.8699951171875,1582.280029296875,1568.8499755859375,1574.72998046875,3977380000
2018-02-02,1547.27001953125,1577.030029296875,1547.06005859375,1577.030029296875,4340220000
2018-02-05,1491.0899658203125,1547.030029296875,1491.06005859375,1544.93994140625,5310840000
2018-02-06,1507.1700439453125,1512.97998046875,1461.449951171875,1486.8499755859375,5917350000
2018-02-07,1507.969970703125,1517.0,1503.3199462890625,1506.6600341796875,4646300000
2018-02-08,1463.7900390625,1511.2099609375,1463.739990234375,1508.449951171875,5333840000
2018-02-09,1477.8399658203125,1487.5799560546875,1436.4300537109375,1467.719970703125,5690110000
2018-02-12,1490.97998046875,1498.1099853515625,1466.8800048828125,1479.1099853515625,4069220000
2018-02-13,1494.949951171875,1497.02001953125,1481.93994140625,1489.6600341796875,3503540000
2018-02-14,1522.0999755859375,1523.8900146484375,1483.2900390625,1492.760009765625,4011940000
2018-02-15,1537.199951171875,1537.77001953125,1516.8800048828125,1524.1800537109375,3696140000
2018-02-16,1543.550048828125,1551.510009765625,1532.219970703125,1536.3199462890625,3646920000
2018-02-20,1529.989990234375,1546.4300537109375,1527.56005859375,1542.3800048828125,3646920000
2018-02-21,1531.8399658203125,1555.280029296875,1530.47998046875,1530.47998046875,3789040000
2018-02-22,1529.989990234375,1548.2900390625,1529.199951171875,1532.7900390625,3720620000
2018-02-23,1549.18994140625,1549.18994140625,1531.3499755859375,1531.3499755859375,3200360000
2018-02-26,1559.3299560546875,1560.739990234375,1544.989990234375,1550.0899658203125,3436590000
2018-02-27,1536.469970703125,1564.6300048828125,1536.469970703125,1559.27001953125,3752070000
2018-02-28,1512.449951171875,1543.75,1512.449951171875,1536.800048828125,4244570000
2018-03-01,1507.3900146484375,1522.469970703125,1494.2900390625,1512.0699462890625,4514490000
2018-03-02,1533.1700439453125,1535.199951171875,1494.0,1506.81005859375,3891250000
2018-03-05,1546.050048828125,1550.760009765625,1525.0799560546875,1531.989990234375,3733640000
2018-03-06,1562.199951171875,1562.199951171875,1538.6300048828125,1546.719970703125,3389030000
2018-03-07,1574.530029296875,1576.72998046875,1550.469970703125,1560.969970703125,3406690000
2018-03-08,1571.969970703125,1580.489990234375,1564.5899658203125,1575.6500244140625,3206040000
2018-03-09,1597.1400146484375,1597.300048828125,1573.18994140625,1573.18994140625,3376870000
2018-03-12,1601.06005859375,1603.7900390625,1594.1099853515625,1597.2900390625,3216960000
2018-03-13,1592.050048828125,1609.050048828125,1590.1099853515625,1601.6500244140625,3324290000
2018-03-14,1584.31005859375,1598.3299560546875,1582.6400146484375,1592.4599609375,3394630000
2018-03-15,1576.6199951171875,1588.02001953125,1572.1600341796875,1584.4000244140625,3543710000
2018-03-16,1586.050048828125,1588.9200439453125,1575.4100341796875,1576.5799560546875,5429140000
2018-03-19,1570.56005859375,1585.8299560546875,1553.9000244140625,1585.8299560546875,3327460000
2018-03-20,1570.4100341796875,1575.780029296875,1566.75,1570.8499755859375,3272590000
2018-03-21,1579.300048828125,1587.739990234375,1570.4000244140625,1570.4000244140625,3434780000
2018-03-22,1543.8699951171875,1576.5899658203125,1543.8699951171875,1576.5899658203125,3765460000
