Price,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,
2018-01-02,6511.33984375,6513.02001953125,6417.75,6431.58984375,1929700000
2018-01-03,6575.7998046875,6579.25,6519.259765625,6520.02978515625,2173130000
2018-01-04,6584.580078125,6603.169921875,6576.919921875,6595.75,2103220000
2018-01-05,6653.2900390625,6654.97998046875,6605.02978515625,6613.1298828125,2024000000
2018-01-08,6676.6298828125,6680.31982421875,6649.2001953125,6651.68017578125,2055010000
2018-01-09,6677.93994140625,6696.1201171875,6658.27001953125,6692.8701171875,2155810000
2018-01-10,6662.66015625,6663.509765625,6619.35009765625,6640.66015625,2132430000
2018-01-11,6708.490234375,6708.490234375,6664.740234375,6675.68994140625,2015170000
2018-01-12,6758.5400390625,6763.97998046875,6695.52001953125,6699.31982421875,1986600000
2018-01-16,6737.14013671875,6835.7900390625,6719.10986328125,6807.85009765625,2399790000
2018-01-17,6810.27978515625,6820.0400390625,6738.4501953125,6767.85009765625,2245910000
2018-01-18,6811.3798828125,6826.7900390625,6784.72021484375,6804.58984375,2037410000
2018-01-19,6834.330078125,6843.240234375,6801.58984375,6829.0400390625,2005470000
2018-01-22,6906.27978515625,6906.27978515625,6822.85009765625,6829.5498046875,2118310000
2018-01-23,6963.4599609375,6969.39990234375,6926.3701171875,6928.27001953125,2135840000
2018-01-24,6919.35009765625,6992.91015625,6880.68017578125,6975.3798828125,2287320000
2018-01-25,6916.2998046875,6967.60009765625,6894.83984375,6965.009765625,2081380000
2018-01-26,7022.97021484375,7022.97021484375,6941.47998046875,6956.66015625,2080700000
2018-01-29,6988.31982421875,7020.64013671875,6974.7001953125,7000.68017578125,2114420000
2018-01-30,6930.72998046875,6958.7900390625,6894.6298828125,6910.39013671875,2183420000
2018-01-31,6949.990234375,6983.60986328125,6915.47998046875,6972.81005859375,2428990000
2018-02-01,6901.5,6970.77001953125,6879.02001953125,6910.56982421875,2311180000
2018-02-02,6760.2900390625,6889.06982421875,6756.5400390625,6866.3798828125,2607160000
2018-02-05,6495.919921875,6807.9599609375,6495.39013671875,6687.47021484375,3143210000
2018-02-06,6665.97998046875,6673.41015625,6370.47998046875,6378.60009765625,3148270000
2018-02-07,6582.02001953125,6716.25,6581.3798828125,6632.97998046875,2380020000
2018-02-08,6306.10009765625,6606.0498046875,6304.18017578125,6595.81005859375,2730740000
2018-02-09,6412.68017578125,6453.43017578125,6164.43017578125,6395.16015625,3165330000
2018-02-12,6523.85009765625,6565.27978515625,6424.2998046875,6477.0400390625,2250650000
2018-02-13,6553.85986328125,6567.6201171875,6478.41015625,6482.77001953125,1830320000
2018-02-14,6675.02978515625,6684.14990234375,6520.39013671875,6523.259765625,2217630000
2018-02-15,6794.919921875,6795.919921875,6665.919921875,6734.33984375,2124060000
2018-02-16,6770.66015625,6840.60009765625,6758.509765625,6778.27978515625,2037710000
2018-02-20,6779.68994140625,6838.0,6740.47998046875,6742.14990234375,1921870000
2018-02-21,6759.259765625,6879.47021484375,6759.22021484375,6808.60009765625,1956120000
2018-02-22,6761.85009765625,6826.009765625,6744.0498046875,6793.080078125,1927580000
2018-02-23,6896.60009765625,6897.52978515625,6789.02978515625,6816.43017578125,1887540000
2018-02-26,6989.10009765625,6989.35986328125,6927.4599609375,6933.81982421875,1876560000
